outcome,encoded_bidder_id,N_bids,N_auctions,N_merchandise,N_device,N_time,N_country,N_ip,N_url,url_entropy_per_auction,bids/url,bids/ip,bids/auctions,bids/country,bids/device,count_concurrent_bids,mean_difference,std_difference,min_difference,25_difference,median_difference,75_difference,max_difference,iqrDiff,N_win,q75_bid_count
0.0,1309,24.0,18.0,1.0,14.0,24.0,6.0,20.0,1.0,4.053508854797679,24.0,1.2,1.3333333333333333,4.0,1.7142857142857142,0.0,571112128146.4348,743873574821.3811,5210526316.0,116868421053.0,345842105264.0,741894736841.0,3167631578948.0,625026315788.0,9.0,5.0
0.0,2397,3.0,1.0,1.0,2.0,3.0,1.0,3.0,2.0,-0.0,1.5,1.0,3.0,3.0,1.5,0.0,3233578947369.0,1759653833053.4563,1989315789476.0,2611447368422.5,3233578947369.0,3855710526315.5,4477842105262.0,1244263157893.0,0.0,1.0
0.0,2514,4.0,4.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,2379000000000.0,861884665883.1294,1450842105264.0,1991447368421.0,2532052631578.0,2843078947368.0,3154105263158.0,851631578947.0,2.0,1.0
0.0,6527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,238,155.0,23.0,1.0,53.0,155.0,2.0,123.0,91.0,3.564621171627626,1.7032967032967032,1.2601626016260163,6.739130434782608,77.5,2.9245283018867925,0.0,77778879015.72728,215428490582.70303,52631578.0,4315789474.0,13684210526.0,43197368421.5,1619210526316.0,38881578947.5,0.0,20.0
0.0,1868,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1046,8.0,8.0,1.0,2.0,8.0,1.0,3.0,8.0,3.0,1.0,2.6666666666666665,1.0,8.0,4.0,0.0,1598902255639.1428,2631665769519.9775,3736842106.0,34894736842.0,58421052632.0,2094526315789.0,6871315789474.0,2059631578947.0,0.0,1.0
0.0,1377,34.0,10.0,1.0,3.0,34.0,3.0,32.0,1.0,3.0919195638396237,34.0,1.0625,3.4,11.333333333333334,11.333333333333334,0.0,169607655502.42426,368566517591.7821,210526316.0,12736842106.0,33000000000.0,82684210524.0,1609473684212.0,69947368418.0,4.0,6.0
0.0,5346,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,68219894736844.0,0.0,68219894736844.0,68219894736844.0,68219894736844.0,68219894736844.0,68219894736844.0,0.0,0.0,0.0
0.0,5509,14.0,10.0,1.0,11.0,14.0,5.0,12.0,7.0,3.182005814760214,2.0,1.1666666666666667,1.4,2.8,1.2727272727272727,0.0,5313914979757.077,15671881859386.047,1473684212.0,342000000000.0,753421052632.0,1438105263156.0,57333157894736.0,1096105263156.0,0.0,4.0
0.0,1142,6.0,3.0,1.0,4.0,6.0,3.0,4.0,6.0,1.4591479170272448,1.0,1.5,2.0,2.0,1.5,0.0,1752589473684.0,2818036769074.56,2210526316.0,3578947368.0,26368421052.0,2243000000000.0,6487789473684.0,2239421052632.0,1.0,0.0
0.0,3353,888.0,126.0,1.0,173.0,887.0,52.0,641.0,99.0,2.6085713925011462,8.969696969696969,1.3853354134165368,7.0476190476190474,17.076923076923077,5.132947976878612,1.0,87107992642.26155,1681048132704.886,0.0,6131578947.0,17421052632.0,38289473683.0,50083105263158.0,32157894736.0,0.0,206.0
0.0,2451,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,6253210526316.0,0.0,6253210526316.0,6253210526316.0,6253210526316.0,6253210526316.0,6253210526316.0,0.0,1.0,1.0
0.0,4987,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,10530000000000.0,0.0,10530000000000.0,10530000000000.0,10530000000000.0,10530000000000.0,10530000000000.0,0.0,0.0,0.0
0.0,6557,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,752263157896.0,0.0,752263157896.0,752263157896.0,752263157896.0,752263157896.0,752263157896.0,0.0,2.0,2.0
0.0,4786,922.0,28.0,1.0,114.0,920.0,2.0,869.0,1.0,3.24015424177166,922.0,1.0609896432681243,32.92857142857143,461.0,8.087719298245615,2.0,80597234127.66559,1653116714420.0364,0.0,2052631578.0,5105263156.0,12631578948.0,50088894736844.0,10578947370.0,5.0,49.0
0.0,686,426.0,137.0,1.0,148.0,426.0,32.0,328.0,44.0,6.269676207880462,9.681818181818182,1.298780487804878,3.1094890510948905,13.3125,2.8783783783783785,0.0,31784024767.802353,59193526051.35164,52631578.0,3473684210.0,9947368422.0,31157894736.0,479947368420.0,27684210526.0,5.0,101.0
0.0,476,1274.0,163.0,1.0,308.0,1246.0,50.0,783.0,86.0,5.750923196895623,14.813953488372093,1.6270753512132823,7.815950920245399,25.48,4.136363636363637,28.0,10677430024.392773,14596676344.74266,0.0,842105262.0,5105263160.0,14473684210.0,116263157894.0,13631578948.0,2.0,463.0
0.0,5317,18.0,4.0,1.0,7.0,18.0,2.0,15.0,9.0,1.6577427265048887,2.0,1.2,4.5,9.0,2.5714285714285716,0.0,4073950464396.353,12482142677653.824,16368421052.0,150842105264.0,270473684210.0,646157894736.0,51891052631580.0,495315789472.0,0.0,5.0
0.0,1395,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.0,8995736842108.0,0.0,8995736842108.0,8995736842108.0,8995736842108.0,8995736842108.0,8995736842108.0,0.0,0.0,0.0
0.0,4569,5.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0,1.9219280948873623,1.25,1.25,1.25,2.5,1.25,0.0,17172776315789.0,29253619184208.676,22315789472.0,2360302631579.0,3854026315789.0,18666499999999.0,60960736842106.0,16306197368420.0,0.0,2.0
1.0,4476,181.0,18.0,1.0,51.0,181.0,7.0,13.0,1.0,3.855597552093458,181.0,13.923076923076923,10.055555555555555,25.857142857142858,3.549019607843137,0.0,73196198830.41112,645775666097.3633,52631578.0,3723684211.5,7894736843.0,19394736841.0,8512736842106.0,15671052629.5,0.0,3.0
0.0,1241,48.0,17.0,1.0,28.0,48.0,6.0,35.0,26.0,2.3437107169296323,1.8461538461538463,1.3714285714285714,2.823529411764706,8.0,1.7142857142857142,0.0,275995520716.7234,511996652981.43805,1210526316.0,24473684210.0,125947368420.0,312736842105.0,3097157894738.0,288263157895.0,1.0,7.0
0.0,5225,12.0,7.0,1.0,11.0,12.0,2.0,6.0,10.0,2.584962500721156,1.2,2.0,1.7142857142857142,6.0,1.0909090909090908,0.0,6339425837320.728,15707413486794.922,86368421052.0,635578947369.0,1691684210526.0,2397315789473.0,53476105263160.0,1761736842104.0,1.0,6.0
0.0,2952,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.0,3813,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5536,330.0,58.0,1.0,66.0,329.0,19.0,166.0,63.0,4.738270628452709,5.238095238095238,1.9879518072289157,5.689655172413793,17.36842105263158,5.0,1.0,205920332746.7599,3003936136149.527,0.0,3736842104.0,13052631578.0,45421052632.0,54461578947368.0,41684210528.0,7.0,109.0
